epochs,batch_size,lr,seed,precision,recall,f1-score,accuracy
16,4,1.00E-05,42,0.93551771,0.934857143,0.934832216,0.934857143
16,4,1.00E-05,223,0.93625869,0.936,0.935990624,0.936
16,4,1.00E-05,1354,0.93455176,0.933857143,0.933830589,0.933857143
16,4,1.00E-05,45678,0.933225316,0.931714286,0.931654595,0.931714286
16,4,1.00E-05,999999,0.930902094,0.930571429,0.930558746,0.930571429
